,title,price,num_sold,shipping_type,condition,condition_description,num_reviews,pos_feedback_pct,return_days
28,apple iphone xs max - 256gb - space gray (unlocked) a1921 (cdma + gsm),409.99,77 sold,,open box,““these units are returns from our retail stores and have been sent back and retested to ensure 100% function. these units are backed by our 30 day worry free guarantee. all units are in pristine cosmetic condition. comes with original wrapped oem charger and cube and a box. along with oem accessories we are also throwing in an extra car charger. these devices are unlocked and can be activated on cdma and gsm carriers””,7186.0,100.0,30 days returns
29,apple iphone 7 128gb  gsm/cdma fully unlocked smartphone- black ,119.99,697 sold,,used,"“overall good condition , may have minor marks and scratches - charger included .”",13110.0,96.2,30 days returns
30,apple iphone 8 plus 64gb unlocked smartphone - very good,219.95,"22,289 sold",free 3 day shipping,very good - refurbished,"“this is a b+ stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”",332402.0,98.4,60 days returns
31,apple iphone x 64gb fully unlocked (gsm+cdma) at&t t-mobile verizon silver,234.99,881 sold,,open box,"“item is in excellent condition. phones are 100% functional. this item will not be in the original packaging and includes a brand new non-oem mfi certified power cable. 60 days seller warranty included. it has been fully tested and is in excellent working order. device may show some light scuffs or marks from handling. fully unlocked: fully functional with every gsm / cdma network carrier such as verizon, t-mobile, at&t, sprint, metro, cricket wireless etc. gsm unlocked: fully functional with gsm network carriers like t-mobile, at&t, metro, cricket wireless etc.”",6910.0,100.0,60 days returns
32,iphone xr verizon unlocked,,,,used,,1120.0,100.0,Seller does not accept returns
33,apple iphone 13 pro max - 256gb - factory sealed - factory warranty - unlocked!,1.0,"1,017 sold",free 3 day shipping,new,,35369.0,100.0,30 days returns
34,apple iphone 11 pro max 64gb unlocked smartphone - very good,499.95,"1,450 sold",free 3 day shipping,very good - refurbished,"“this is a b+ stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”",332402.0,98.4,60 days returns
35,"apple iphone 6 - 16gb - space gray (unlocked) a1549 "" b stock"" ",57.29,,free 3 day shipping,used,“these unit are returns from our enterprise group have been sent back and retested to ensure 100% function. these units will come in b stock condition. meaning most units will some some scratches or light use. absolutely no dents or cracks. these units will be unlocked so will be good to use on all networks. will come with a cable and charger no box. keep in mind iphone 6 series not receive new iphone updates.”,7186.0,100.0,30 days returns
36,apple iphone 8 plus 64gb unlocked metro cricket tmobile at&t verizon - excellent,219.0,636 sold,,excellent - refurbished,"““completely unlocked and compatible with all carriers.  see details below. all of these iphones have been fully tested by our team of on-site technicians using industry-leading testing software and procedures to guarantee they're in perfect working condition and perform just like brand new phones. we're confident in the quality and condition of these iphones and you can be too, by knowing that we offer a no-risk 30-day warranty””",61033.0,100.0,30 days returns
37,apple iphone 11 - 128gb/64gb - factory unlocked - very good condition -all color,395.0,110 sold,,used,"“phones are in excellent cosmetic condition. devices are ready to activate. clean esn. phonecheck certified. please see below for more info(grading,etc). if you have any questions, please do not hesitate to contact us.”",5157.0,99.3,30 days returns
38,apple iphone 8 plus factory unlocked at&t t-mobile verizon smartphone very good,229.0,"2,085 sold",free 3 day shipping,very good - refurbished,"“100% full functional , gsm unlocked for all gsm carriers.“this item is in great condition  and will show moderate signs of cosmetic imperfections (scratching/scuffing) on housing and screen - fully functional – comes with generic box charging usb and adapter (no simcard included)”",69144.0,95.8,30 days returns
39,apple iphone xr white 128gb a1984 lte gsm cdma verizon unlocked - good,237.99,23 sold,,good - refurbished,“this device is in really good condition. it’s thoroughly tested and is 100% functional. cosmetically the screen and case may have minor scratches or scuffs.”,,,30 days returns
40,apple iphone x 256gb unlocked gsm phone - space gray (dents/scratches),209.99,221 sold,,used,“this item has been previously used and has strong signs of use. there may be dents or scuffs and scratches but is still 100% fully operational and functions as intended. perfect for use with a case.”,154486.0,98.0,30 days returns
41,apple iphone xs max 64gb unlocked smartphone - very good,299.95,"6,513 sold",free 3 day shipping,very good - refurbished,"“this is a b+ stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”",332402.0,98.4,60 days returns
42,apple iphone 11 a2111 64/128/256gb us cellular verizon at&t unlocked great,309.99,662 sold,,used,“great condition - these phones may have some visible wear from light use. there may be a few light scratches on the screen or scuffs on the body. all phones are fully tested using our 34-point inspection process and are 100% functional.”,39879.0,99.0,30 days returns
43,apple iphone 7 gsm factory unlocked 4g lte ios wifi 32gb smartphone - grade b,97.99,173 sold,,used,"“may show signs of wear like multiple scratches (which you can cover if you use a screen protector) , scuffs, and dents, but it does not impair the functionality, includes free charger and cable, 100% fully functional, certified via a 34 point factory inspection, these are unlocked devices and will support all gsm networks worldwide (may not support cdma networks such as verizon etc), ships in a generic box, photos are stock photos”",119534.0,99.2,30 days returns
44,apple iphone xs - 256gb space gray (unlocked) (cdma + gsm),202.0,86 sold,,used,"“phones are in mint condition. fully functional, professionally tested and cleaned to ensure perfect working functionality.”",5157.0,99.3,30 days returns
45,apple iphone 11 64gb unlocked smartphone - very good,349.95,"6,453 sold",free 3 day shipping,very good - refurbished,"“this is a b+ stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”",332402.0,98.4,60 days returns
46,apple iphone x 256gb factory unlocked smartphone very good,305.0,188 sold,free 3 day shipping,very good - refurbished,““this item is in very good condition and will show moderate signs of (scratching/scuffing) on housing and screen. fully functional gsm unlocked– comes with generic box charging usb and adapter.””,69144.0,95.8,30 days returns
47,"apple iphone 7 plus 32gb black, gold unlcoked verizon at&t smartphone lte",129.69,"1,200 sold",,for parts or not working,“all phones can power on. lcd has no cracks.”,6203.0,99.9,30 days returns
48,apple iphone xr - 128gb - black (unlocked) a1984 (cdma + gsm),239.0,,,used,,117.0,100.0,Seller does not accept returns
49,apple iphone 13 pro max - 128gb - factory sealed - factory warranty - unlocked!,1.0,392 sold,,new,,35369.0,100.0,30 days returns
50,apple iphone xr - 128gb - coral (unlocked),,,,used,,545.0,100.0,Seller does not accept returns
51,apple iphone 8 plus - 64gb - factory unlocked - very good condition,229.99,985 sold,,used,"“fully tested and restored to factory settings by our in house technicians. - very good - this product is in very good cosmetic condition, there will be signs of wear which may include light scratches and/or scuffs but nothing that will impair functionality. battery health will be a minimum of 80%. the item has been fully tested, restored to factory settings and is in excellent working order.”",27638.0,96.8,60 days returns
52,apple iphone 8 64gb a1863 verizon unlocked gsm space gray very good,157.95,504 sold,free 3 day shipping,used,“device is in very good cosmetic condition. color is space gray.  device is in 100% working condition. it has been extensively tested and found to be fully functional. clean esn. apple limited warranty information is not available.”,103380.0,99.4,30 days returns
53,apple iphone 8 64gb fully unlocked (gsm+cdma) at&t t-mobile verizon black,164.99,"1,173 sold",,open box,"“item is in excellent condition. phones are 100% functional. this item will not be in the original packaging and includes a brand new non-oem mfi certified power cable. 60 days seller warranty included. it has been fully tested and is in excellent working order. device may show some light scuffs or marks from handling. fully unlocked: fully functional with every gsm / cdma network carrier such as verizon, t-mobile, at&t, sprint, metro, cricket wireless etc. gsm unlocked: fully functional with gsm network carriers like t-mobile, at&t, metro, cricket wireless etc.”",6910.0,100.0,60 days returns
54,apple iphone 4s-8gb-black -white(verizon-unlocked) mint condition-w/warranty,17.99,,,used,“this phone is used. however it has been tested to be 100% fully functional & operational. it has a clean esn for verizon and is also unlocked for all gsm carriers. it is in mint condition as well. the phone comes along with a free charger. but most of all the phone comes along with a 30 day warranty if something is broken. great deal!”,7708.0,96.2,30 days returns
55,apple iphone 11 - 128gb - factory unlocked - very good condition,394.99,598 sold,,used,"“fully tested and restored to factory settings by our in house technicians. - very good - this product is in very good cosmetic condition, there will be signs of wear which may include light scratches and/or scuffs but nothing that will impair functionality. battery health will be a minimum of 80%. the item has been fully tested, restored to factory settings and is in excellent working order.”",27638.0,96.8,60 days returns
56,apple iphone 8 64gb space gray verizon unlocked good condition,146.99,975 sold,,good - refurbished,"“device is 100% fully functional and in good physical condition. the screen will likely show moderate scratches. expect minor amounts of wear in the form of scratches, minor dents and/or black markings on the housing and bezel. please reference example photos and listing for further details.”",54835.0,99.4,60 days returns
57,apple iphone 12 pro max - 512 gb unlocked • pacific blue • a+ pre-owned! 📱,,,,used,,3139.0,100.0,Seller does not accept returns
58,apple iphone 11 pro 256gb unlocked smartphone - excellent,534.95,339 sold,free 3 day shipping,excellent - refurbished,"“this is an a stock item, meaning unit is in excellent cosmetic condition.”",332402.0,98.4,60 days returns
59,apple iphone 12 a2172 64/128/256gb at&t t-mobile verizon unlocked good,434.99,129 sold,,used,“good condition - these phones may show common to heavy signs of wear such as scuffs or scratches on both the screen and the body. there may be dings in the frame of the phone and wear around audio and charging ports. all phones are fully tested using our 34-point inspection process and are 100% functional.”,39879.0,99.0,30 days returns
60,apple iphone x - 64gb - factory unlocked - very good condition,228.99,986 sold,,used,"“fully tested and restored to factory settings by our in house technicians. - very good - this product is in very good cosmetic condition, there will be signs of wear which may include light scratches and/or scuffs but nothing that will impair functionality. battery health will be a minimum of 80%. the item has been fully tested, restored to factory settings and is in excellent working order.”",27638.0,96.8,60 days returns
61,apple iphone x 64gb unlocked gsm phone - space gray (dents/scratches),189.98,123 sold,,used,“this item has been previously used and has strong signs of use. there may be dents or scuffs and scratches but is still 100% fully operational and functions as intended. perfect for use with a case.”,154486.0,98.0,30 days returns
62,apple iphone 11 64gb 128gb 256gb verizon t-mobile at&t good condition,299.99,"2,055 sold",,good - refurbished,"“this apple iphone 11 64gb 128gb 256gb verizon t-mobile at&t unlocked smartphone has been determined fully functional by our industry leading functionality 32 point inspection. it may show signs of wear like minor scratches, scuffs, and minor nicks on the screen or body. this item will not come in its original packaging but will include a certified mfi cable and ul approved power adapter. headsets, sim card and manual are not included. this apple iphone 11 64gb 128gb 256gb verizon t-mobile at&t unlocked smartphone is fully functional with verizon, t-mobile, at&t and all other cdma & gsm networks. depending on which network you purchase, your device will operate on either fully unlocked or h2o locked. (more info below in item description)”",13325.0,96.6,30 days returns
63,apple iphone xr - 64gb - factory unlocked - good condition,218.99,"1,754 sold",,good - refurbished,"“fully tested and restored to factory settings by our in house technicians. - good – this product is in good cosmetic condition, there will be signs of wear which may include scratches, visible scuffs and/or screen discoloration but nothing that will impair functionality. battery health will be a minimum of 80%. the item has been fully tested, restored to factory settings and is in excellent working order.”",27638.0,96.8,60 days returns
64,apple iphone x - 64gb - space gray  a1865 gsm & cdma unlocked ~mrf~ -good!,208.99,"3,616 sold",free 3 day shipping,good - refurbished,"““this product has been determined fully functional by our industry leading functionality inspection. mfi certified lightning cable and ul approved power adapter are included. this product will not come in its original packaging; headsets, sim card and manual will not be included. for additional details including carrier compability please see item description.""""the item shows moderate wear and is backed by a one year warranty. it is fully functional and has been professionally refurbished,inspected and cleaned to good condition by qualified sellers. the item includes original or new accessories and will come in a new generic packaging.”",10672.0,98.8,30 days returns
65,apple iphone 7 plus - unlocked - 32gb - black - smartphone - very good,154.99,,,good - refurbished,"“the cosmetic condition is overall very good, it may show signs of wear and tear, such as light dings & scratches on the screen & body. | the device has been tested and is fully functional”",122285.0,100.0,30 days returns
