,title,price,condition,num_reviews,pos_feedback_pct,return_days,model,capacity,release_year
834,new sealed in box apple iphone 8 plus 64/256gb unlocked smartphone all colors,310.99,6.0,103.0,98.1,3.0,11,92.72343149807938,2017
835,"*new sealed* apple verizon iphone 6s plus 5.5"" 16/64/128gb unlocked smartphone",214.99,6.0,438.0,97.4,3.0,8,56.774193548387096,2015
836,apple iphone 12 64gb factory unlocked at&t t-mobile verizon good condition,479.95,2.0,82193.0,98.4,3.0,16,64.0,2020
837,apple iphone xr - 128gb - all colors - fully unlocked - very good condition ,288.99,3.0,3099279.0,98.8,2.0,13,128.0,2018
838,apple iphone 12 pro a2341 - 512gb - all colors (unlocked) - good condition ,713.99,2.0,3099279.0,98.8,2.0,16,512.0,2020
839,apple iphone 12 pro a2341 - 512gb - all colors (unlocked) - good condition ,713.99,2.0,3099279.0,98.8,2.0,16,512.0,2020
840,for iphone 11 11 pro 11 pro max 12 liquide silicone phone case shockproof cover,6.99,6.0,5105.0,94.7,2.0,15,124.43806104129264,2019
841,apple iphone 6s plus 16gb 64gb 32gb 128gb gsm unlocked smartphone - grade b+,117.99,1.0,119431.0,99.3,2.0,8,16.0,2015
842,apple iphone x - 64gb - all colors - fully unlocked - excellent condition (a) ,280.49,4.0,3099279.0,98.8,2.0,12,64.0,2017
843,new apple iphone 8 64gb 256gb unlocked gold smartphone - unused & sealed in box,308.66,6.0,56.0,100.0,2.0,11,64.0,2017
844,✅apple iphone se 1st gen 2016 (unlocked) a1662 16 / 32 / 64 / 128gb smartphone ,69.99,1.0,1198.0,97.4,2.0,9,128.0,2016
845,apple iphone 6s 64gb unlocked smartphone - excellent,122.95,4.0,332288.0,98.4,3.0,8,64.0,2015
846,apple iphone 11 64gb t-mobile locked very good condition,309.95,3.0,82193.0,98.4,3.0,15,64.0,2019
847,apple iphone 12 (6.1-inch) a2172) t-mobile only - 64gb/red color,400.0,1.0,218.0,97.4,2.0,16,64.0,2020
848,apple iphone xs 64gb│256gb│512gb (factory unlocked) ✅ apple warranty ✅❖sealed❖,389.95,6.0,25277.0,100.0,2.0,14,64.0,2018
850,apple iphone xr - 64gb - all colors - (at&t) smartphone - excellent condition ,237.99,4.0,3099279.0,98.8,2.0,13,64.0,2018
851,apple iphone 12 pro | unlocked verizon att tmobile 128gb 256gb 512gb | excellent,705.0,4.0,21988.0,99.8,3.0,16,128.0,2020
852,"ob apple iphone xs 64/256/512 gb space gray, gold, silver gsm+cdma unlocked-d2",288.99,5.0,4368.0,98.6,2.0,14,177.84242424242424,2018
853,apple iphone 11 - 64gb - factory unlocked - pre-owned very good condition,324.99,1.0,27605.0,96.8,3.0,15,64.0,2019
854,apple iphone 6 plus -16gb 64gb gsm/cdma unlocked verizon at&t smartphone lte,97.0,1.0,4130.0,99.2,2.0,7,64.0,2014
855,apple iphone 8 plus 64gb unlocked straight talk tmobile at&t verizon metro (n),249.0,5.0,60972.0,100.0,2.0,11,64.0,2017
856,apple iphone 11 - 64gb 128gb 256gb - factory unlocked - verizon / at&t - good,319.99,2.0,122213.0,100.0,2.0,15,64.0,2019
857,"new apple iphone 7 plus - 32gb - black (unlocked) a1784 (gsm) at&t, t-mobile ",199.95,5.0,8258.0,100.0,2.0,10,32.0,2016
858,apple iphone xr 128gb unlocked 4g lte ios 12mp camera smartphone - good,252.95,2.0,332288.0,98.4,3.0,13,128.0,2018
859,cracked apple iphone 12 pro - graphite *for parts only* ic,175.0,0.0,259.0,100.0,2.0,16,138.7663551401869,2020
860,apple iphone 13 pro - 128gb - factory sealed - factory warranty - unlocked!,1.0,6.0,35357.0,100.0,2.0,17,128.0,2021
861,apple iphone 12 64gb 128gb 256gb at&t sprint t-mobile unlocked verizon fair,416.99,1.0,54735.0,99.4,3.0,16,64.0,2020
862,"unlocked apple iphone 11 pro  64gb 5.8"" space gray a2160 smartphone",484.99,5.0,131288.0,99.6,2.0,15,64.0,2019
864,apple iphone xr 128gb black (cdma + gsm unlocked) minor issues - grade b+,199.99,1.0,121483.0,99.9,2.0,13,128.0,2018
865,apple iphone 12 256gb black unlocked - new & sealed,766.99,6.0,54735.0,99.4,3.0,16,256.0,2020
866,apple iphone 11 64gb verizon smartphone - very good,349.95,3.0,332288.0,98.4,3.0,15,64.0,2019
867,apple iphone xs - 256gb -  gray - gsm unlocked - smartphone,236.99,1.0,7053.0,99.9,2.0,14,256.0,2018
868,*very good* apple iphone 8 | att t-mobile verizon cdma & gsm unlocked 64gb 256gb,123.0,1.0,21988.0,99.8,3.0,11,64.0,2017
869,apple iphone 8 plus 64gb gsm unlocked (gsm) at&t t-mobile gold,229.99,5.0,6904.0,99.9,3.0,11,64.0,2017
870,apple iphone 12 pro max 128gb 256gb 512gb unlocked (any carrier) smartphone,894.99,5.0,249010.0,96.5,2.0,16,128.0,2020
871,apple iphone 11 green a2111 128gb -  ic locked- cracked screen/parts only,199.0,0.0,155.0,100.0,0.0,15,128.0,2019
873,apple iphone 11 pro max - 64/256/512gb - unlocked verizon - very good condition,547.99,3.0,54735.0,99.4,3.0,15,124.43806104129264,2019
874,apple iphone 7 256gb gsm unlocked at&t t-mobile very good condition,124.95,3.0,82193.0,98.4,3.0,10,256.0,2016
875,apple iphone 6 plus - 16/32/64/128gb - unlocked verizon - excellent condition,101.99,4.0,54735.0,99.4,3.0,7,35.82608695652174,2014
876,apple iphone se 1st gen fully unlocked gsm/cdma smartphone 16gb 32gb 64gb 128gb,67.95,1.0,127726.0,95.6,2.0,9,16.0,2016
877,apple iphone 6/6 plus 16gb 64gb 128gb unlocked verizon at&t t-mobile tracfone 4,51.92,1.0,5146.0,99.3,2.0,7,16.0,2014
878,apple iphone 7 32gb unlocked smartphone - very good,112.95,3.0,332288.0,98.4,3.0,10,32.0,2016
879,apple iphone xs 64gb gold a1920 (unlocked) reduced price nw3504,211.92,1.0,136771.0,98.8,2.0,14,64.0,2018
880,apple iphone 12 - 64gb - gsm & cdma unlocked 5g lte device-all colors~very good!,464.99,3.0,10647.0,98.9,2.0,16,64.0,2020
881,apple iphone 11 pro 64gb green (unlocked) ✅ one year apple warranty✅ ❖sealed❖,589.95,6.0,25277.0,100.0,2.0,15,64.0,2019
882,apple iphone 11 pro max 64gb 256gb 512gb (unlocked) ⚫🟠 ✅1 yr warranty✅❖sealed❖,846.95,6.0,25277.0,100.0,2.0,15,64.0,2019
883,apple iphone 13 128gb 5g blue at&t smartphone ml9c3ll/a,649.0,5.0,361879.0,99.8,2.0,17,128.0,2021
885,apple iphone 7 256gb factory unlocked at&t t-mobile verizon very good condition,141.95,3.0,82193.0,98.4,3.0,10,256.0,2016
886,apple iphone xr 64gb 128gb 256gb gsm factory unlocked cell phone good,224.95,2.0,266795.0,99.8,2.0,13,64.0,2018
887,apple iphone 7 plus 32gb gsm factory unlocked smartphone - excellent,169.99,4.0,119431.0,99.3,2.0,10,32.0,2016
888,apple iphone 11 64gb 128gb 256gb at&t sprint t-mobile unlocked verizon good,308.99,2.0,54735.0,99.4,3.0,15,64.0,2019
889,apple iphone 8 64gb space gray unlocked very good condition,166.99,3.0,54735.0,99.4,3.0,11,64.0,2017
890,apple iphone xs 64gb gsm unlocked at&t t-mobile good condition,228.95,2.0,82193.0,98.4,3.0,14,64.0,2018
891,apple iphone 11 64gb unlocked smartphone - excellent,414.95,4.0,332288.0,98.4,3.0,15,64.0,2019
892,apple iphone 8 - 64gb - space gray (verizon) a1863 (cdma + gsm) mq722ll/a,145.0,1.0,50196.0,99.4,3.0,11,64.0,2017
893,apple iphone 7 128gb silver unlocked good condition,123.99,2.0,54735.0,99.4,3.0,10,128.0,2016
